,kingdom,btk,phylum,btp,class,btc,order,bto,family,btf,genus,btg,abundance
Otu00703,Bacteria,100,Desulfobacterota,100,Desulfobulbia,100,Desulfobulbales,100,Desulfobulbaceae,100,uncultured,100,456
Otu00704,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Sphingomonadales,100,Sphingomonadaceae,100,Polymorphobacter,100,455
Otu00705,Bacteria,100,Firmicutes,100,Clostridia,100,Clostridiales,100,Clostridiaceae,100,Clostridium_sensu_stricto_7,94,455
Otu00706,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Spongiibacteraceae,100,Spongiibacteraceae_unclassified,100,454
Otu00707,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhodobacterales,100,Rhodobacteraceae,100,Tropicimonas,95,452
Otu00709,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,uncultured,100,uncultured_fa,100,uncultured_ge,100,452
Otu00708,Bacteria,100,Firmicutes,100,Bacilli,100,Lactobacillales,100,Carnobacteriaceae,100,Carnobacterium,100,451
Otu00710,Bacteria,100,Firmicutes,100,Bacilli,100,Lactobacillales,100,Carnobacteriaceae,100,Alkalibacterium,89,451
Otu00711,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhodobacterales,100,Rhodobacteraceae,100,Rhodobacteraceae_unclassified,100,451
Otu00712,Bacteria,100,Firmicutes,100,Clostridia,100,Clostridiales,100,Clostridiaceae,100,Oceanirhabdus,98,450
Otu00713,Bacteria,100,Firmicutes,100,Clostridia,100,Clostridiales,100,Clostridiaceae,100,Clostridiaceae_unclassified,100,450
Otu00714,Bacteria,100,Firmicutes,100,Bacilli,100,Bacillales,100,Bacillaceae,100,Bacillaceae_unclassified,100,448
Otu00715,Bacteria,100,Chloroflexi,100,KD4-96,100,KD4-96_or,100,KD4-96_fa,100,KD4-96_ge,100,448
Otu00716,Bacteria,100,Bdellovibrionota,100,Oligoflexia,100,Oligoflexales,100,Oligoflexaceae,100,Oligoflexaceae_unclassified,90,447
Otu00717,Bacteria,100,Verrucomicrobiota,100,Chlamydiae,100,Chlamydiales,100,Chlamydiales_unclassified,100,Chlamydiales_unclassified,100,446
Otu00718,Bacteria,100,Desulfobacterota,100,Desulfomonilia,100,Desulfomonilales,100,Desulfomonilaceae,100,Desulfomonile,100,444
Otu00719,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhodobacterales,100,Rhodobacteraceae,100,Rhodobacteraceae_unclassified,100,444
Otu00720,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Rhodopirellula,100,444
Otu00721,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Endozoicomonadaceae,100,Endozoicomonas,100,443
Otu00722,Bacteria,100,Actinobacteriota,100,Thermoleophilia,100,Gaiellales,100,uncultured,100,uncultured_ge,100,443
